Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.548904133,-9.04035759,3.769242764,-8.240403175,12.7999805
1.553940018,-8.861446381,4.304331303,-8.19304657,12.8132163
1.558974862,-8.451276779,4.876697063,-8.210101128,12.75194158
1.564010695,-7.710420132,5.30107975,-8.333938599,12.53022576
1.569046528,-7.187221527,5.32857275,-8.509428024,12.34747772
1.57408231,-6.587429523,5.093089104,-8.855428696,12.15534457
1.579118195,-5.938997746,5.012056828,-9.309838295,12.1270564
1.584154028,-7.302611351,5.017146587,-8.89748764,12.55647955
1.589191893,-6.611032963,3.792460918,-8.282079697,11.25528146
1.594227726,-4.840538979,2.881277084,-7.798239708,9.620037307
1.59926356,-7.061963558,5.472720146,-7.998539925,11.9916069
1.604299393,-8.957162857,6.94611454,-8.090929031,13.92632063
1.609335226,-8.468011856,6.372096539,-7.758148193,13.13391421
1.61437106,-7.462839127,5.014280319,-7.827055931,11.92056121
1.619409028,-6.401947498,4.007275105,-8.298772812,11.22108799
1.62444481,-5.617269039,3.777030945,-8.766839027,11.07597132
1.629480695,-5.35974741,4.045100212,-9.052883148,11.27139837
1.634516528,-5.290520668,4.263041019,-9.197717667,11.43508364
1.63955231,-5.089088917,4.319740295,-9.341259003,11.48120647
1.644588195,-4.676574707,4.397719383,-9.538833618,11.49780995
1.649630747,-4.40139246,4.427580357,-9.683397293,11.52145418
1.654666581,-4.204823494,4.363916874,-9.691843033,11.43049135
1.659702414,-4.055410862,4.345795155,-9.407823563,11.1283169
1.664738247,-3.776408195,4.387759209,-8.76415062,10.50352445
1.669774081,-3.24691534,4.523711681,-8.080728531,9.813490724
1.674809862,-2.797119617,4.81100893,-7.651499748,9.46124376
1.67984257,-2.399549961,5.060116291,-7.31771183,9.214744887
1.684878403,-1.73768425,5.105398655,-7.127647877,8.938009075
1.689914237,-0.7662978172,5.080429077,-6.896454811,8.599945402
1.69495007,0.3548126221,5.041204929,-6.634740829,8.340229314
1.699985903,1.25176096,4.91675663,-6.331789017,8.113750884
1.705021737,1.793186665,4.698698521,-6.016419411,7.841593507
1.710059653,2.157635689,4.525384903,-5.636026382,7.543162047
1.715095487,2.230980396,4.275152683,-5.222026825,7.108007327
1.72013132,1.884662151,3.848619938,-4.672152519,6.339782016
1.725167101,0.8792686462,3.314506054,-3.16533494,4.666734299
1.730202987,-0.3811788559,3.356098652,-1.96577394,3.9080638
1.73523882,-1.271297455,3.401177406,-3.086970329,4.765877756
1.740278039,-1.600417137,3.334276199,-3.277636528,4.941824966
1.745313872,-1.987648964,2.986611843,-2.167087078,4.191284422
1.750349706,-2.362944603,2.47209549,-1.699720502,3.818875894
1.755385539,-2.487092018,2.145876884,-1.727953911,3.711635627
1.760421372,-2.531223774,2.141399384,-1.471835017,3.627531314
1.765457206,-2.592710495,2.320747852,-1.073194385,3.641395954
1.770490435,-2.436322212,2.482043743,-0.7727537155,3.56277355
1.775526216,-2.299270153,2.549012661,-0.4954519272,3.468368694
1.780562101,-2.187389374,2.38368845,-0.6196726561,3.294030525
1.785597935,-1.901263714,2.225681782,-0.9983716011,3.092767201
1.790633716,-1.493408203,2.28912735,-1.419403791,3.079785578
1.795669601,-1.150831699,2.390440941,-1.710726261,3.156771425
1.800715278,-1.098371029,2.464016914,-1.929116488,3.316517555
1.805751112,-1.298797607,2.464384556,-2.05244565,3.460144449
1.810786945,-1.481626987,2.391926289,-2.309877872,3.640338677
1.815822778,-1.534970284,2.354459286,-2.481458187,3.749299539
1.820858612,-1.314095497,2.347122669,-2.499325991,3.671847247
1.825894393,-0.8750548363,2.431718826,-2.432223558,3.548899668
1.830934497,-0.4202642441,2.676430702,-2.247182131,3.519904952
1.835970331,-0.03320789337,2.900220871,-1.896431208,3.46537663
1.841006164,0.2693600655,2.882368088,-1.527639627,3.273268011
1.846041997,0.4330105782,2.63548708,-1.403140306,3.016967522
1.851077831,0.345035553,2.315906048,-1.362520456,2.709046391
1.856113664,0.03895759583,1.854762554,-1.415750504,2.333669067
1.861148456,-0.4280529022,1.525060177,-1.407960415,2.11929006
1.866184289,-0.9198827744,1.415172577,-1.274677038,2.115112123
